"Summary","Location","Description","Start Date/Time","End Date/Time"
"🌙 Evening reflection","","Track mood: 7
Reflect on what happened
Had an emotional intelligence workshops today, My values are Mastery, Mentoring, Sharing, Fun
What am I grateful for?
I am grateful for the moment of connection with Elena about guilt for valuing fun
What did I do well?
I put Sofi to sleep fast","2025-06-11 21:00:00+00:00","2025-06-11 21:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Theme for the day
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun","2025-06-12 10:00:00+00:00","2025-06-12 10:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Progress on WR missions, 1:1s, do the evening schedule, finish DCC#4
Theme for the day
Slow and Steady
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun","2025-06-12 10:00:00+00:00","2025-06-12 10:30:00+00:00"
"🌙 Evening reflection","","Track mood
Reflect on what happened
What am I grateful for?
What did I do well?","2025-06-12 23:00:00+00:00","2025-06-12 23:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Reflect on what happened
We saw our furniture being made
What am I grateful for?
I bought a new card game. Got nice slippers with skulls
What did I do well?
I did some work on missions for Winter Raid
Consumption: C 0.5 Line, CBD 4drops","2025-06-12 23:00:00+00:00","2025-06-12 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Continue on Missions for Winter Raid
Enjoy high school reunion
Theme for the day
Progress in small steps
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun
I will write some elegant code
I will be helpful to someone
I will share an experience
I will take time to have some fun","2025-06-13 10:00:00+00:00","2025-06-13 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: P microdose, C 1bump
Reflect on what happened
Been to 20 years after highschool Xko class. Didn't really connect with anyone. Left feeling bored.
What am I grateful for?
had a nice bike ride
What did I do well?
I did some work on Missions for Winter Raid","2025-06-13 23:00:00+00:00","2025-06-13 23:30:00+00:00"
"🌙 Evening reflection","","Track mood:
Consumption:
Reflect on what happened

What am I grateful for?

What did I do well?","2025-06-13 23:00:00+00:00","2025-06-13 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Relax, maybe do some work on MD
Theme for the day
Relax
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun","2025-06-14 10:00:00+00:00","2025-06-14 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: Wine 3 glasses
Reflect on what happened
Took care of Sofi and she was quite annoying
What am I grateful for?
Stella made some nice stew
What did I do well?
I took care of Sofi OK","2025-06-14 23:00:00+00:00","2025-06-14 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Prepare a costume for Rust Haven
Theme for the day
Get ready for the next week
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun
I will make a nice costume,
I will spend some time with Honza","2025-06-15 10:00:00+00:00","2025-06-15 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: -
Reflect on what happened:
Dan called and invited us to ST again
What am I grateful for?
I played a demo of Terra Tech Legion
What did I do well?
I made cool post-apo t-shirts for Rust Haven","2025-06-15 23:00:00+00:00","2025-06-15 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Continue on Missions
Theme for the day
Survive my allergies
Name & Reinforce values: Mastery, Mentoring, Sharing, Fun
Evgeny will challenge me with some UX bullshit, I am attending a mentoring closing ceremony.","2025-06-16 10:00:00+00:00","2025-06-16 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 8
Consumption: C bump, M 60mg
Reflect on what happened
I survived and thrived despite heavy allergies and sore throat
What am I grateful for?
I am happy to have participated in a game dev event
What did I do well?
Team that I mentored won the best game - Icaropolis","2025-06-16 23:00:00+00:00","2025-06-16 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Progress on Missions
Theme for the day
Get up to speed
Name & Reinforce values: Creativity, Sharing, Fun
I will do a bit for Mighty Decks, I will meet my friends to play later","2025-06-17 10:00:00+00:00","2025-06-17 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 8
Consumption: C 1line, 4 drinks
Reflect on what happened
We lost Pandemic Legacy but I still enjoyed it
What am I grateful for?
I had a nice bike ride after work. Jasmína showed me a lot of gratefulnes.
What did I do well?
I did some work on Winter Raid","2025-06-17 23:00:00+00:00","2025-06-17 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Pack my things
Theme for the day
Get ready for Rust Haven
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-18 10:00:00+00:00","2025-06-18 10:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Theme for the day
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-18 10:00:00+00:00","2025-06-18 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: C 1bump
Reflect on what happened
Ive been tired after Yesterday 
What am I grateful for?
I am happy I progresses on Missions for WR
What did I do well?
Ive prepared my stuff for Rust Haven well","2025-06-18 23:00:00+00:00","2025-06-18 23:30:00+00:00"
