name,tier,imageUri,artDescription,artDescription2,graphicDraft,graphicFeedback,graphicDone,type,group,subGroup,players,count,description,drawExtra,story,cost,value,minResourceCost,maxResourceCost,roi
Beard of Holding,1,,S hammer sticking out of a huge beard woven into complicated braids adorned by greenish stone rings with glowing runes.,"fancy braided beard full of content from our resources,(diamonds, ingots, money, barrel with alcohol, chicken) colorfull resources",FALSE,,FALSE,Treasure,Luxury,,All,1,Does not belong to any set.,FALSE,"Brought to you by the latest best-seller: ""Dwarven Beard Magic and How To Use It""",4 Gold,5,4,4,125.00%
Eating contest,1,,A sweating dwarf waist up behind a table with open mouth and a whole roasted pork leg sticking out of his mouth. He's holding the pork leg with one heand and holding another leg in the other hand rested on the table.,"Huge pile of chicken legs, cherries, ribs and gravy, colorfull food, tiny face behind it",FALSE,,FALSE,Treasure,King set,Cheap,All,1,Belongs to the King set.,FALSE,,3 Food,11,3,9,122.22%
Warhammer,1,,"Levitating diagonal warhammer with long, thin metal shaft with sharp pommel at the end and massive blockish metal head with beveled edges that on the right side morphs into a sharp jagged piercing end. It shimmers lightly with sparks falling off.","Huge thor like hammer, with runes on top of it emittating some effect magic effect such fire, desctruction, ghosts, gold color but with the accent of color based on the choosen magical effect",FALSE,,FALSE,Treasure,Warrior set,Cheap,All,1,Belongs to the Warrior set.,FALSE,,5 Metal,19,5,15,126.67%
Traveling Merchant,1,,"A lean human man with a huge rucksack from which many household items, food and metal ingots are sticking out","Close up fo the dwarf and his thorso, the dwarf will be showing the inside of his jacket where he will be having instead of watches , chicken legs, metal ingots, bricks and household items",FALSE,,FALSE,Instant,Trader,Buying,All,2,Buy up to 5 units of Food/Stone/Metal from trader for mid price,FALSE,,,0,0,0,
Wasteland Expedition,1,,An oxen pulled wagon from the front with a dwarf with reins in his hand and a pickaxe hanging from his belt staring long over a flat strech of barren land with mountains in the distance.,"Exactly wasteland, Scenery with the table in the middle saying wasteland vs safety, on the left side will be pretty forest on the right side there will be dead trees and hole in the ground with hot steams and possibly also some skeletons, colorfull dynamic elemets such as the steam or sunset",FALSE,,FALSE,Instant,Expedition,Food,All,2,All players in turn order starting with current player can spend 1 Food (including buying from other Markets) to roll a gem die GemDie and receive that many Gems.,FALSE,,,0,0,0,
New Food Deal,1,https://i.imgur.com/y6tkOnw.jpg,Two hands holding resources. In left hand there is a bowl of many smaller chicken wings. In right hand a single crate with tasty looking freshly baked pork leg.,"close up on butchers hands, in one hand he will be having tiny chicken legs but huge amounts of coins in the other hand small amount of coins but huge chicken leg , red blood",TRUE,Change right Hand. DONE Possibly getting rid of the leafs (might by solved by coloring),FALSE,Instant,New Deal,Food,Current,2,We need adapt our Food production. Pick one: Raise the market price and lower production by 1 OR Lower the market price and raise production by 1.,FALSE,"""The only think I like better than talking about Food is eating.""",,0,0,0,
New Stone Deal,1,,A big simple scales. On the left there are many uneven bricks made of mud some of which are cracked. On the right a there are three shiny pristine marble tiles stacked against a wall.,"Small dirty dwarf is offering you a new deal, on his shoulders he is heaving a stick on on the sides of it he is having one caoin and big stone  on the other he is having tiny stone with more coins, red face of the dwarf since he is been in too much of the heat",TRUE,,FALSE,Instant,New Deal,Stone,Current,2,We need adapt our Stone production. Pick one: Raise the market price and lower production by 1 OR Lower the market price and raise production by 1.,FALSE,"""The drops of rain make a hole in the stone, not by violence, but by often falling.""",,0,0,0,
Taxes,1,https://i.imgur.com/jFKiF9P.jpg,"A dwarven king with his hand outstretched in a ""give me money"" gesture","Dwarf King sitting on his cold angular throne, close up on his face and crown in the crown you will be able to see lots of coins since good dwargf will never loose sights of his treasure, red accents on the king",TRUE,,FALSE,Instant,Taxes,15,All,1,All players with more than 15 Gold loose half rounded down.,TRUE,"""You don't pay taxes - they take taxes."" ~Chris Rock",,0,0,0,
Wand of Enlarge Pig,2,,A cow sized pig with a concerned expression standing next to a happy fat dwarf with magic wand in his hand.,"Mascular flexing body with the head of the pig, pig head will be red",FALSE,,FALSE,Instant,Building,Food,All,1,Pig Farm produces +1 Food from now on.,TRUE,"""All you need is a pinch of powdered iron and voila...bacon!""",,0,0,0,
Statue of Moradin,1,,A statue of faceless stout dwarf with ornate helmet and a big warhammer with a head made of dwarven faces holding an orb. Appearance: https://static.wikia.nocookie.net/criticalrole/images/1/1b/Moradin%2C_the_Allhammer_-_Christian_Thor_Lally.jpg/revision/latest/scale-to-width-down/298?cb=20201231230516 More info: https://criticalrole.fandom.com/wiki/Moradin#Symbols_and_Appearance,"big standalone obelisk but in reggular column like shape, hard edges , on top if will be tiny but imporatnt looking dwarf for example with some staff or him covering from the direct fire, fire will be red Appearance: https://static.wikia.nocookie.net/criticalrole/images/1/1b/Moradin%2C_the_Allhammer_-_Christian_Thor_Lally.jpg/revision/latest/scale-to-width-down/298?cb=20201231230516 More info: https://criticalrole.fandom.com/wiki/Moradin#Symbols_and_Appearance",FALSE,,FALSE,Treasure,Architect set,Cheap,All,1,Belongs to the Architect set.,FALSE,,6 Stone,23,6,18,127.78%
