"slug","title","icon","effect","cost","deck","count"
"base_fast","Fast","/mighty-decks/assets/base/fast.png","May be used twice in a round at -1 Effect each.","","base modifier","2"
"base_empowered","Empowered","/mighty-decks/assets/base/empowered.png","+1 Effect on Success or better.","","base modifier","4"
"base_wide","Wide","/mighty-decks/assets/base/wide.png","Affects an additional target in the same zone.","","base modifier","2"
"base_burning","Burning","/mighty-decks/assets/base/burning.png","Inflicts 1 Burning per attack or defend action.","","base modifier","2"
"base_freezing","Freezing","/mighty-decks/assets/base/freezing.png","Inflicts 1 Freezing per attack or defend action.","","base modifier","2"
"base_insulating","Insulating","/mighty-decks/assets/base/insulating.png","Protects from 1 Freezing or 1 Burning per defend action.","","base modifier","2"
"base_enerving","Enerving","/mighty-decks/assets/base/enerving.png","Inflicts 1 Distress per attack or defend action.","","base modifier","2"
"base_penetrating","Penetrating","/mighty-decks/assets/base/penetrating.png","Ignores 1 Injury reduction / atk. or inflicts 1 Injury / def. action.","","base modifier","2"
"base_fragile","Fragile","/mighty-decks/assets/base/fragile.png","Discard after first use.","","base modifier","1"
"base_permanent","Permanent","/mighty-decks/assets/base/permanent.png","Remains in play, cannot be discarded by normal means.","","base modifier","1"
"base_hidden","Hidden","/mighty-decks/assets/base/hidden.png","Not revealed until first use.","","base modifier","4"
"base_annoying","Annoying","/mighty-decks/assets/base/annoying.png","On action, suffer 1 Distress.","","base modifier","1"
"base_dangerous","Dangerous","/mighty-decks/assets/base/dangerous.png","On action, +1 Effect and suffer 1 Injury.","","base modifier","1"
"base_pushing","Pushing","/mighty-decks/assets/base/pushing.png","On action, move target to an adjacent zone.","","base modifier","2"
"base_pulling","Pulling","/mighty-decks/assets/base/pulling.png","On action, move target to your zone.","","base modifier","2"
"base_area","Area","/mighty-decks/assets/base/area.png","Affects all targets in the zone.","","base modifier","2"
