"name","weight"
"Bella",1224
"Mia",804
"Lili",651
"Kitty",590
"Kiki",499
"Lily",314
"Marley",279
"Lilly",260
"Linda",253
"Roxy",227
"Alex",222
"Lisa",215
"Stella",215
"Yuki",212
"Miki",200
"Maggie",196
"Angel",177
"Mike",156
"Liza",139
"Sisi",130
"Chiko",116
"Jessie",114
"Betty",104
"Misty",102
"Fox",100
"Cherry",99
"Lea",94
"Nelly",87
"Sofie",87
"Tomas",82
"Jenny",73
"Melissa",66
"Pepa",66
"Trixie",63
"Melody",61
"Chelsea",59
"Cleopatra",57
"Chip",53
"Sára",50
"Ketty",47
"Eli",44
"Minka",44
"Naomi",38
"Cassie",35
"Bára",33
"Wifi",30
"Carmen",28
"Eliška",24
"Ano",22
"Viola",22
"Lucie",20
"Amálka",19
"Líza",18
"Máša",16
"Zuzana",15
"Kissa",13
"Miša",13
"Mája",13
"Sherry",12
"Žofie",10
"Číča",10
"Mačka",9
"Týna",9
"Micina",8
"Majda",8
"Míca",7
"Čiči",6
"Princezna",6
"Amálie",6
"Mourinka",6
"Růžena",5
"Denisa",5
"Hara",4
"Šarlota",4
"Fergie",3
"Niké",3
"Rolnička",3
"Mourina",3
"Mikeška",3
"Efi",2
"Síta",2
"Pinďa",2
"Semina",2
"Jasmínka",2
"Timinda",1
"Kokša",1
"Igrendis",1
"Mutnežemet",1
"Petulka",1
"Bleška",1
"Uziela",1
"Radka",1
"Šáda",1
"Eli",0
"Eli",0
"Linda",0
"Stella",0
"Miky",0
