"name","weight"
"Max",1641
"Mimi",1369
"Simba",1098
"Tom",680
"Charlie",557
"Bruno",515
"Felix",390
"Spike",307
"Loki",291
"Oscar",245
"Bibi",229
"Oliver",210
"Ben",200
"Harry",194
"Pandora",191
"Akira",180
"Garfield",162
"Pinky",149
"Casper",118
"Monty",113
"Neko",111
"Oskar",93
"Karel",85
"Sissi",80
"Eva",79
"Merlin",79
"Morris",75
"Andy",73
"Doris",71
"Adolf",71
"Rony",70
"Miky",69
"Sophia",66
"Aisha",58
"Micka",52
"Filip",49
"Sebastian",46
"William",46
"Rosie",44
"Ferda",42
"Samuel",40
"Bert",39
"Pes",39
"Ginny",38
"Mikeš",34
"Endy",33
"Picasso",31
"Rozárka",31
"Helena",30
"Caesar",30
"Theodor",29
"Kuba",29
"Elza",28
"Twix",27
"Vincent",26
"Richard",26
"Bastian",25
"Garfild",24
"Míša",23
"Čert",23
"Lexa",22
"Akim",22
"Bertík",21
"Khaleesi",19
"Matýsek",19
"Duffy",18
"Smoky",18
"Ťapka",18
"Mína",18
"Tikki",17
"Čenda",17
"Piškot",16
"Murka",16
"Mates",16
"Ferdinand",15
"Jess",15
"Bublina",15
"Mourek",15
"Betina",14
"Sabina",13
"Beruška",13
"Flíček",12
"Terezka",12
"Easy",11
"Žofka",11
"Kulíšek",11
"Tomáš",10
"Čertík",10
"Matěj",10
"Micinka",10
"Chewy",9
"Elis",9
"Ouško",9
"Chantal",9
"Sněhurka",9
"Michal",9
"Punťa",9
"Vanda",8
"Kočka",8
"Zrzek",8
"Milos",7
"Šmudla",7
"Cecil",7
"Fousek",7
"Lucka",7
"Quentin",7
"Honza",7
"Saša",7
"Aneta",7
"Kocour",7
"Macík",7
"Agáta",6
"Pepino",6
"Rainy",6
"Uhlík",6
"Monique",6
"Julča",6
"Křupka",6
"Damián",6
"Snížek",6
"Macek",6
"Ryky",5
"Lavi",5
"Alexandr",5
"František",5
"Hunor",5
"Nefertiti",5
"Minda",5
"Markiz",4
"Jonáš",4
"Žolík",4
"Matyáš",4
"Béďa",4
"Mour",4
"Šárka",3
"Šmudlina",3
"Bobeš",3
"Klaudie",3
"Atrei",2
"Ludvík",2
"Žuchla",2
"Černý",2
"Máca",2
"Zrzeček",2
"Hafka",1
"Sherchan",1
"Šklíba",1
"Šérchán",1
"Bertíček",1
"Kyle Richard",1
"Kulik",1
"Očko",1
"Tryndamere",1
"Jeremiáš",1
"Jean-Luc",1
"Zizinka",1
"Tom",0
