"name","population"
"Prague",1357326
"Brno",396101
"Ostrava",283504
"Plzeň",181240
"Liberec",107389
"Olomouc",101825
"České Budějovice",96417
"Hradec Králové",93506
"Pardubice",92149
"Ústí nad Labem",91963
"Zlín",74191
"Havířov",70245
"Kladno",68436
"Most",63856
"Opava",55512
"Frýdek-Místek",54188
"Jihlava",52548
"Teplice",50843
"Karviná",50172
"Karlovy Vary",49043
"Děčín",47180
"Chomutov",46940
"Jablonec nad Nisou",45830
"Mladá Boleslav",45000
"Prostějov",43551
"Přerov",41634
"Třinec",34306
"Česká Lípa",37262
"Třebíč",34712
"Tábor",34301
"Znojmo",34146
"Kolín",33289
"Příbram",32743
"Cheb",31954
"Písek",30742
"Trutnov",29660
"Kroměříž",28185
"Orlová",27966
"Vsetín",25393
"Šumperk",25061
"Uherské Hradiště",24812
"Břeclav",24544
"Hodonín",23805
"Český Těšín",23487
"Chrudim",23443
"Havlíčkův Brod",23398
"Litoměřice",23124
"Nový Jičín",23015
"Krnov",22848
"Litvínov",22695
"Valašské Meziříčí",22630
"Strakonice",22583
"Klatovy",22496
"Sokolov",22227
"Kopřivnice",21669
"Kutná Hora",21417
"Jindřichův Hradec",20828
"Beroun",20809
"Bohumín",20643
"Žďár nad Sázavou",20519
"Vyškov",20426
"Mělník",20202
"Blansko",20174
"Náchod",19936
"Brandýs nad Labem-Stará Boleslav",19767
"Jirkov",19305
"Žatec",19044
"Kralupy nad Vltavou",18770
"Kadaň",18275
"Louny",18121
"Hranice",17978
"Otrokovice",17634
"Benešov",16875
"Říčany",16775
"Slaný",16557
"Pelhřimov",16423
"Uherský Brod",16410
"Neratovice",16220
"Jičín",16210
"Rožnov pod Radhoštěm",16205
"Svitavy",16186
"Ostrov",15894
"Rakovník",15574
"Nymburk",15424
"Bruntál",15415
"Dvůr Králové nad Labem",15348
"Česká Třebová",15203
"Poděbrady",14902
"Varnsdorf",14837
"Bílina",14633
"Turnov",14472
"Klášterec nad Ohří",14324
"Rokycany",14309
"Ústí nad Orlicí",14141
"Tachov",13800
"Mariánské Lázně",13766
"Milovice",13634
"Hlučín",13506
"Zábřeh",13434
"Šternberk",13239
"Český Krumlov",12907
"Aš",12804
"Roudnice nad Labem",12747
"Chodov",12733
"Krupka",12710
"Jaroměř",12628
"Čelákovice",12444
"Vysoké Mýto",12333
"Vrchlabí",12205
"Boskovice",11996
"Holešov",11538
"Velké Meziříčí",11517
"Nový Bor",11485
"Vlašim",11438
"Humpolec",11333
"Kuřim",11263
"Prachatice",11211
"Rychnov nad Kněžnou",11178
"Uničov",11122
"Domažlice",11010
"Rumburk",10937
"Kyjov",10844
"Sušice",10820
"Frenštát pod Radhoštěm",10709
"Jeseník",10665
"Veselí nad Moravou",10642
"Čáslav",10468
"Litomyšl",10441
"Králův Dvůr",10428
"Jesenice",10169
"Lysá nad Labem",10047
"Přelouč",9971
"Nové Město na Moravě",9919
"Frýdlant nad Ostravicí",9890
"Ivančice",9888
"Litovel",9712
"Lanškroun",9709
"Moravská Třebová",9685
"Hlinsko",9596
"Mohelnice",9424
"Nové Město nad Metují",9378
"Studénka",9326
"Tišnov",9223
"Hostivice",9123
"Chotěboř",9109
"Nová Paka",9035
"Roztoky",8971
"Mnichovo Hradiště",8949
"Polička",8910
"Dobříš",8831
"Lovosice",8803
"Choceň",8708
"Duchcov",8684
"Štětí",8572
"Hořice",8562
"Příbor",8364
"Červený Kostelec",8326
"Třeboň",8242
"Semily",8163
"Milevsko",8089
"Bystřice pod Hostýnem",8029
"Lipník nad Bečvou",7981
"Stříbro",7975
"Dubí",7968
"Rýmařov",7953
"Bystřice nad Pernštejnem",7906
"Hrádek nad Nisou",7882
"Týn nad Vltavou",7858
"Šlapanice",7853
"Benátky nad Jizerou",7786
"Nejdek",7772
"Rychvald",7713
"Mikulov",7679
"Hořovice",7581
"Černošice",7570
"Kaplice",7479
"Vodňany",7446
"Bílovec",7429
"Frýdlant",7427
"Odry",7424
"Úvaly",7404
"Petřvald",7388
"Český Brod",7361
"Vimperk",7347
"Vratimov",7336
"Broumov",7207
"Nový Bydžov",7203
"Dačice",7177
"Napajedla",7171
"Slavkov u Brna",7167
"Sezimovo Ústí",7166
"Moravské Budějovice",7159
"Letovice",6967
"Soběslav",6966
"Nýřany",6935
"Sedlčany",6833
"Holice",6813
"Bučovice",6771
"Přeštice",6750
"Rosice",6656
"Staré Město",6629
"Kravaře",6624
"Kraslice",6614
"Blatná",6600
"Dobruška",6571
"Šenov",6553
"Hulín",6524
"Letohrad",6503
"Veselí nad Lužnicí",6488
"Světlá nad Sázavou",6437
"Podbořany",6371
"Dobřany",6360
"Mimoň",6358
"Odolena Voda",6344
"Chrastava",6316
"Dubňany",6266
"Mníšek pod Brdy",6250
"Hustopeče",6248
"Slavičín",6238
"Týniště nad Orlicí",6143
"Kostelec nad Orlicí",6117
"Hronov",6096
"Železný Brod",6079
"Tanvald",6070
"Žamberk",5951
"Rousínov",5888
"Třebechovice pod Orebem",5848
"Kojetín",5844
"Šluknov",5744
"Týnec nad Sázavou",5731
"Třešť",5715
"Františkovy Lázně",5707
"Nové Strašecí",5696
"Moravský Krumlov",5677
"Vítkov",5670
"Pohořelice",5669
"Kunovice",5638
"Chlumec nad Cidlinou",5625
"Lomnice nad Popelkou",5585
"Modřice",5572
"Fulnek",5545
"Zubří",5532
"Hluboká nad Vltavou",5526
"Planá",5505
"Úpice",5498
"Hradec nad Moravicí",5490
"Holýšov",5489
"Brumov-Bylnice",5471
"Jilemnice",5439
"Starý Plzenec",5414
"Strážnice",5401
"Horní Slavkov",5388
"Velká Bíteš",5361
"Stochov",5341
"Jablunkov",5292
"Trhové Sviny",5291
"Rudná",5290
"Telč",5239
"Polná",5238
"Kdyně",5235
"Bakov nad Jizerou",5202
"Bor",5191
"Doksy",5187
"Jílové u Prahy",5165
"Horšovský Týn",5132
"Luhačovice",5107
"Česká Kamenice",5103
"Horažďovice",5094
"Skuteč",5071
"Kosmonosy",5059
"Česká Skalice",5053
"Jílové",5037
"Nýrsko",5033
"Třemošná",5020
"Unhošť",5013
"Heřmanův Městec",4912
"Pečky",4886
"Bechyně",4882
"Vizovice",4870
"Valašské Klobouky",4868
"Ledeč nad Sázavou",4862
"Bělá pod Bezdězem",4838
"Náměšť nad Oslavou",4824
"Oslavany",4802
"Protivín",4801
"Vrbno pod Pradědem",4798
"Zruč nad Sázavou",4767
"Pacov",4743
"Habartov",4729
"Chropyně",4720
"Postoloprty",4679
"Chýně",4657
"Votice",4651
"Meziboří",4627
"Lišov",4621
"Vamberk",4607
"Osek",4603
"Bystřice",4585
"Cvikov",4577
"Kynšperk nad Ohří",4568
"Bzenec",4565
"Planá nad Lužnicí",4561
"Vracov",4539
