"name","weight"
"Meggie",3202
"Bella",2773
"Charlie",2651
"Andy",2232
"Mia",2149
"Lilly",2102
"Jessie",2087
"Roxy",1943
"Amy",1885
"Jackie",1558
"Daisy",1473
"Angie",1429
"Betty",1417
"Bonnie",1291
"Denny",1247
"Sanny",1115
"Sandy",1078
"Peggy",1057
"Dasty",1014
"Bublina",995
"Goldie",941
"Sára",896
"Besina",880
"Bára",864
"Dixi",851
"Míša",850
"Miky",761
"Terezka",750
"Lady",743
"Lassie",737
"Tara",719
"Danny",711
"Bela",695
"Nelly",693
"Jerry",684
"Alex",660
"Laura",657
"Coco",637
"Maggie",635
"Sisi",632
"Kessy",617
"Cindy",611
"Abby",609
"Bayley",606
"Elsa",603
"Annie",597
"Asta",589
"Dafné",588
"Chloe",583
"Bart",575
"Viky",574
"Molly",564
"Cora",541
"Aura",539
"Ketty",513
"Bessy",512
"Cassidy",500
"Líza",476
"Jenny",470
"Šmudla",455
"Cherry",420
"Kira",415
"Ruby",410
"Rita",403
"Chelsea",396
"Brownie",389
"Abigail",383
"Betinka",380
"Adélka",373
"Lili",367
"Bibi",365
"Candy",365
"Maiki",364
"Bea",363
"Ennie",361
"Nessie",358
"Arina",353
"Jessi",351
"Kelly",347
"Zuzanka",344
"Debbie",340
"Honey",340
"Carrie",337
"Aisha",336
"Dixie",326
"Blackie",326
"Fanny",325
"Merlin",323
"Lucy",321
"Sally",319
"Bambi",309
"Shadow",295
"Maya",294
"Iris",294
"Kessie",294
"Marika",293
"Ťapka",292
"Niky",291
"Sunny",290
"Mína",289
"Madison",287
"Nela",284
"Jessica",278
"Ája",277
"Palačinka",277
"Kessi",273
"Becky",268
"Ebi",268
"Karamelka",265
"Happy",264
"Aki",259
"Nelinka",256
"Berta",255
"En",253
"Charlotte",252
"Barunka",251
"Keisy",249
"Trixy",248
"Sheila",248
"Cassie",247
"Connie",246
"Čikina",241
"Abbie",241
"Ashley",241
"Lily",240
"Ron",238
"Ellis",237
"Natálka",236
"Sendy",234
"Arnold",233
"Barča",226
"Agnes",225
"Scarlet",220
"Enny",219
"Pajda",218
"Bambulka",217
"Lou",216
"Kiki",216
"Xena",216
"Ajša",215
"Pussy",215
"Brita",215
"Loužička",215
"Lara",213
