"name","weight"
"Charlie",2651
"Andy",2232
"Buddy",1961
"Roxy",1943
"Max",1684
"Jackie",1558
"Ben",1266
"Denny",1247
"Akim",1182
"Sandy",1078
"Rex",1025
"Dasty",1014
"Míša",850
"Aaron",849
"Endy",836
"Sam",806
"Lucky",773
"Miky",761
"Baddy",757
"Monty",741
"Marley",739
"Jack",733
"Rocky",730
"Danny",711
"Arny",705
"Jerry",684
"Alex",660
"Riki",654
"Coco",637
"Chico",619
"Teddy",603
"Viky",574
"Bobík",551
"Betoven",479
"Archie",442
"Argo",415
"Bax",414
"Ruby",410
"Brownie",389
"Harry",379
"Aron",373
"Candy",365
"Maiki",364
"Bady",363
"Jessi",351
"Black",348
"Honey",340
"Blackie",326
"Bad",323
"Nero",319
"Eliot",312
"Bambi",309
"Shadow",295
"Punťa",293
"Ťapka",292
"Sunny",290
"Madison",287
"Flek",283
"Kessi",273
"Dyk",272
"Denis",270
"Happy",264
"Pedro",263
"Maxík",262
"Ferda",259
"Aki",259
"Cézar",255
"Barney",251
"Keisy",249
"Leo",242
"Joe",241
"Falco",237
"Diablo",232
"Piškot",219
"Ajax",216
"Lou",216
"Laky",213
"Ozzy",212
"Ouško",211
"Pišta",210
"Koko",203
"Tim",202
"Gigi",201
"Blackberry",199
"Dexter",197
"Cloudy",197
"Goofy",195
"Jonáš",191
"Jimmy",191
"Snoopy",190
"Mates",187
"Kim",187
"Maxíček",184
"Q",184
"Ronnie",179
"Spasitel",179
"Hachiko",179
"Blesk",173
"Aran",172
"Harley",171
"Satan",169
"Bojar",168
"Zorro",167
"Pátek",166
"Bonny",161
"Angel",161
"Dino",161
"Babů",161
"Afi",159
"Dan",159
"Darsy",159
"Benji",158
"Caramel",157
"Badýsek",156
"Filip",156
"Beckie",156
"Bailey",155
"Bak",155
"Lenny",155
"Barny",154
"Ada",154
"Puňťa",151
"Kasey",151
"Matýsek",150
"Čert",149
"Yuki",149
"Loki",149
"Chilli",148
"Kiwi",147
"Baron",146
"Sheldon",146
"Calvin",145
"Rambo",144
"Enji",144
"Tramp",144
"Ace",143
"Ocásek",142
"Lord",140
"Hugo",136
"Elvis",134
"Kari",134
"Toby",134
"Fido",134
"Tony",133
"Gucci",133
"Dobby",132
"Albi",131
"Marvex",131
"Larry",131
"Bruno",130
"Wolf",130
"Hagrid",129
"Dafy",127
"Azor",125
"Hačiko",125
"Rony",125
"Scooby",124
"Xaver",123
"Fox",123
"Dj",123
"Brok",123
"Apollo",122
"Fík",122
"Piňďa",122
"Affinity",122
"Pluto",121
"Princ",118
"Abík",118
"Bert",117
"Karel",115
"Ryn",114
"Barry",114
"Pongo",112
"Mickey",112
"Štístko",111
"Cookie",110
"Ebony",109
"Brit",109
"Cooper",108
"Majky",108
"Majky",108
"Ady",107
"Adam",105
"Dick",104
"Marvel",103
"Timmy",103
"Henry",103
"Queen",103
"Whisky",103
"Mailo",103
"Barnabáš",102
"Čertík",101
"Amigo",99
"Fred",99
"Niko",99
"Terry",98
"Dingo",97
"Marlin",97
"Diblík",97
"Simba",97
"Benjamin",96
"Čenda",96
"Alvin",96
"Ricky",95
"Kimi",95
"Adolf",95
"Abbe",94
"Don",94
"Agi",93
"Bond",93
"Felix",93
"Dag",93
"Vanilka",92
"Basty",92
"Dante",92
"Arnie",91
"Chip",91
"Akki",91
"White",91
"Gaston",91
"Jasper",90
"Blue",89
"Zoey",89
"Čaky",88
"Pretty",88
"Benny",88
"Lukas",88
"Delgardo",87
"Sebastián",86
"Jeff",86
"Abe",86
"Drak",86
"Dark",85
"Bertík",84
"Sigi",84
"Hasan",84
"Achtung",84
"Barley",83
"Falko",83
"Maty",83
"Maty",83
"Falko",83
"Rasty",82
"Lesan",82
"Kevin",81
"Saša",81
"Jamie",81
"Kory",80
"Damián",80
"Marco",80
"Charley",79
"Baf",79
"York",79
"Nick",79
"Balů",79
"Chlup",78
"Rintintin",78
"Beník",78
"Leon",78
"Paddy",78
"Bary",77
"Art",77
"Rendy",77
"Sydney",76
"Amor",76
"Dastin",76
"Mazlík",76
"Brix",75
"Margo",75
"Baryk",75
"Ice",74
"Béďa",74
"Rek",74
"Diego",74
"Kuba",72
"Alf",72
"Kazan",72
"Mac",71
"Percy",71
"Taffy",71
"Beneček",71
"Aurora",71
"Démon",70
"Casper",70
"Matyáš",70
"Egon",70
"Izzi",70
"Tesák",70
"Thor",70
"Bernie",69
"Romeo",69
"Balto",69
"Sir",68
"Fredy",68
"Frankie",67
"Alík",67
"Georgia",67
"Dandy",66
"Neposeda",66
"Lollipop",66
"Aira",66
"Billy",65
"Bobeš",65
"Robin",65
"Kony",65
"Bard",65
"Raf",65
"Bali",65
"Maximus",65
"Elí",65
"Dusty",64
"Achilles",64
"Tracy",64
"Scotty",64
"Zoro",64
"Kasi",64
"Frisco",64
"Johny",64
"Patti",63
"Bohouš",63
"Žeryk",63
"Katie",63
"Agar",63
"Smokey",63
"Nicky",63
"Jupiter",63
"Bob",62
"Romy",62
"Beníček",62
"Kai",61
"Eddy",61
"Oggy",61
"Čiko",61
"Alan",60
"Woody",60
"Flíček",59
"Butch",58
"Jim",58
"Zlato",58
"Car",58
"Bárny",57
"Carlos",57
"Perry",57
"Žolík",57
"Eda",57
"Haf",57
"Lojza",57
"Bastien",57
"Peek",57
"Lexi",57
"Daky",57
"Justin",56
"Roni",56
"Xavier",56
"Jolly",56
"Clowy",55
"Erik",55
"Matěj",55
"Kulíšek",54
"Macík",54
"Pída",54
"Gary",54
"Dar",54
"Abel",54
"Patrik",54
"Kairo",53
"Karlos",53
"Fin",53
"Flame",53
"Antonio",53
"Dak",53
"Carmel",53
"Bred",52
"Dargo",52
"Abu",52
"Deril",52
"Bret",52
"Nemo",52
"Koki",52
"Daneček",51
"Aris",51
"Foggy",51
"Tar",51
"Bush",51
"Tyson",51
"Alberto",51
"Rick",51
"Frenky",51
"Luky",51
"Spike",51
"Macek",51
"Fantom",50
"Uhlík",50
"Pet",50
"Flér",50
"Dax",50
"Ralphie",50
"Shep",50
"Didi",50
"Able",50
"Filípek",50
"Steffi",50
"Willy",50
"Nik",50
"Kelvin",50
"Lump",50
"Ares",49
"Hektor",49
"Pirát",49
