"name","weight","order"
Adam,2039,4
Adrian,83,73
Albert,79,74
Aleš,169,58
Alex,214,50
Alexander,50,89
Alexandr,176,54
Andrej,40,98
Antonín,709,23
Benjamin,46,92
Dalibor,49,90
Damián,63,81
Dan,66,78
Daniel,1588,11
David,1817,6
Denis,299,38
Dominik,1240,14
Eduard,89,72
Eliáš,114,67
Erik,166,59
Filip,1525,12
František,534,30
Gabriel,65,79
Hugo,52,86
Hynek,95,71
Ivan,41,96
Jáchym,267,45
Jakub,2889,1
Jan,2737,2
Jaromír,76,75
Jaroslav,363,31
Jindřich,176,55
Jiří,969,18
Jonáš,330,34
Josef,666,25
Kamil,42,94
Karel,277,41
Kevin,52,87
Kristian,42,95
Kristián,175,57
Kryštof,614,27
Ladislav,153,61
Libor,52,88
Luboš,48,91
Lukáš,1888,5
Marek,967,19
Martin,1460,13
Matěj,1792,8
Matouš,270,44
Matyas,63,82
Matyáš,1794,7
Max,202,51
Maxim,161,60
Maxmilián,145,63
Michael,294,40
Michal,1097,16
Mikuláš,329,35
Milan,232,48
Miroslav,324,36
Nicolas,148,62
Nikolas,186,52
Oldřich,39,99
Oliver,277,42
Ondřej,1618,10
Oskar,57,85
Patrik,826,21
Pavel,654,26
Petr,1158,15
Prokop,74,77
Radek,273,43
Radim,242,47
René,39,100
Richard,361,32
Robert,96,70
Robin,176,56
Roman,251,46
Rostislav,60,84
Rudolf,43,93
Samuel,559,29
Sebastian,321,37
Sebastián,98,69
Stanislav,121,65
Šimon,1068,17
Štěpán,943,20
Tadeáš,676,24
Teodor,75,76
Theodor,41,97
Tobias,177,53
Tobiáš,570,28
Tomáš,2311,3
Václav,775,22
Viktor,298,39
Vilém,132,64
Vincent,65,80
Vít,348,33
Vítek,105,68
Vladimír,118,66
Vojta,62,83
Vojtěch,1774,9
Zdeněk,222,49
