"family","male","maleWeight","female","femaleWeight"
Novákovi,Novák,33881,Nováková,4812
Svobodovi,Svoboda,25218,Svobodová,6158
Novotní,Novotný,24276,Novotná,4963
Dvořákovi,Dvořák,22241,Dvořáková,3115
Černí,Černý,17735,Černá,8370
Procházkovi,Procházka,15936,Procházková,6347
Kučerovi,Kučera,15124,Kučerová,5699
Veselí,Veselý,12958,Veselá,3437
Horákovi,Horák,12156,Horáková,2499
Němcovi,Němec,11124,Němcová,1529
Markovi,Marek,10848,Marková,1464
Pospíšilovi,Pospíšil,10798,Pospíšilová,1003
Pokorní,Pokorný,10723,Pokorná,1023
Hájkovi,Hájek,10205,Hájková,563
Královi,Král,10012,Králová,378
Jelínkovi,Jelínek,9815,Jelínková,308
Růžičkovi,Růžička,9599,Růžičková,9912
Benešovi,Beneš,9431,Benešová,9821
Fialovi,Fiala,9182,Fialová,9448
Sedláčkovi,Sedláček,8942,Sedláčková,9132
Doležalovi,Doležal,8790,Doležalová,9082
Zemanovi,Zeman,8751,Zemanová,8994
Kolářovi,Kolář,8383,Kolářová,8736
Navrátilovi,Navrátil,8151,Navrátilová,8423
Čermákovi,Čermák,7955,Čermáková,8375
Vaňkovi,Vaněk,7612,Vaňková,7934
Urbanovi,Urban,7612,Urbanová,7800
Blažkovi,Blažek,7235,Blažková,7487
Křížovi,Kříž,7153,Křížová,7422
Kovářovi,Kovář,7038,Kovářová,7148
Kratochvílovi,Kratochvíl,7033,Kratochvílová,7700
Bartošovi,Bartoš,6933,Bartošová,7132
Vlčkovi,Vlček,6909,Vlčková,7114
Polákovi,Polák,6874,Poláková,7090
Musilovi,Musil,6816,Musilová,6783
Kopečtí,Kopecký,6812,Kopecká,7361
Šimkovi,Šimek,6790,Šimková,7489
Koneční,Konečný,6668,Konečná,6955
Malí,Malý,6599,Malá,6759
Holubovi,Holub,6439,Holubová,6615
Čechovi,Čech,6416,Čechová,6780
Štěpánkovi,Štěpánek,6407,Štěpánková,6686
Staňkovi,Staněk,6401,Staňková,6722
Kadlecovi,Kadlec,6384,Kadlecová,6472
Dostálovi,Dostál,6315,Dostálová,6465
Soukupovi,Soukup,6129,Soukupová,6304
Šťastní,Šťastný,6118,Šťastná,6496
Marešovi,Mareš,6011,Marešová,6210
Moravcovi,Moravec,5875,Moravcová,6045
Sýkorovi,Sýkora,5852,Sýkorová,6073
Tiší,Tichý,5827,Tichá,5960
Valentovi,Valenta,5703,Valentová,6065
Vávrovi,Vávra,5626,Vávrová,5975
Matouškovi,Matoušek,5604,Matoušková,5800
Říhovi,Říha,5565,Říhová,5747
Bláhovi,Bláha,5491,Bláhová,5788
Burešovi,Bureš,5436,Burešová,5585
Ševčíkovi,Ševčík,5403,Ševčíková,5660
Hruškovi,Hruška,5277,Hrušková,5373
Maškovi,Mašek,5268,Mašková,5695
Duškovi,Dušek,5242,Dušková,5490
Pavlíkovi,Pavlík,5202,Pavlíková,5421
Havlíčkovi,Havlíček,5185,Havlíčková,5310
Jandovi,Janda,5140,Jandová,5413
Hrubí,Hrubý,5133,Hrubá,5265
Machovi,Mach,5036,Machová,5706
Liškovi,Liška,4829,Lišková,5010
Bednářovi,Bednář,4823,Bednářová,4988
Beránkovi,Beran,4800,Beránková,4425
Vítkovi,Vítek,4797,Vítková,4914
Macháčkovi,Macháček,4794,Macháčková,4889
Müllerovi,Müller,4782,Müllerová,4732
Tomanovi,Toman,4756,Tomanová,4998
Bártovi,Bárta,4753,Bártová,4884
Vackovi,Vacek,4753,Vacková,4993
Tůmovi,Tůma,4736,Tůmová,4857
Žákovi,Žák,4732,Žáková,4949
Šmídovi,Šmíd,4697,Šmídová,5572
Kašparovi,Kašpar,4664,Kašparová,4806
Stejskalovi,Stejskal,4628,Stejskalová,4725
Sedlákovi,Sedlák,4616,Sedláková,4820
Švecovi,Švec,4609,Švecová,4675
Horváthovi,Horváth,4544,Horváthová,4265
Jarošovi,Jaroš,4542,Jarošová,4838
Strnadovi,Strnad,4422,Strnadová,4479
Slavíkovi,Slavík,4404,Slavíková,4548
Němečkovi,Němeček,4394,Němečková,4483
Bílkovi,Bílek,4388,Bílková,4616
Ježkovi,Ježek,4363,Ježková,4514
Matějkovi,Matějka,4271,Matějková,4622
Beranovi,Beránek,4242,Beranová,5043
Tesařovi,Tesař,4206,Tesařová,0
Horáčkovi,Horáček,4201,Horáčková,4399
Fišerovi,Fišer,4185,Fišerová,4685
Krausovi,Kraus,4107,Krausová,4471
Brožovi,Brož,4096,Brožová,4314
Kubíčkovi,Kubíček,4061,Kubíčková,4273
Prokopovi,Prokop,3971,Prokopová,0
Pavlíčkovi,Pavlíček,3947,Pavlíčková,0
Havlovi,Havel,3944,Havlová,0
Janečkovi,Janeček,0,Janečková,4822
Krejčovi,Krejčí,0,Krejčová,5435
Peškovi,Pešek,0,Pešková,4724
Petrovi,Petr,0,Petrová,4200
